source_station,destination_station,distance,travel_time,avg_delay
Lokmanyatilak T,Thane,0.0,0.0,26.0
Thane,Kalyan Jn,0.0,0.0,28.0
Thane,Lokmanyatilak T,0.0,0.0,52.5
Thane,Dadar,0.0,0.0,22.0
Thane,Panvel,0.0,0.0,12.0
Kalyan Jn,Pune Jn,0.0,0.0,30.0
Kalyan Jn,Thane,0.0,0.0,60.5
Kalyan Jn,Lonavala,0.0,0.0,15.5
Kalyan Jn,Kasara,0.0,0.0,28.0
Kalyan Jn,Dadar,0.0,0.0,49.0
Kalyan Jn,Bhusaval Jn,0.0,0.0,283.0
Kalyan Jn,C Shivaji Term Mumbai,0.0,0.0,475.0
Kalyan Jn,Karjat,0.0,0.0,26.0
Kalyan Jn,Nasik Road,0.0,0.0,9.0
Pune Jn,Kurduvadi,0.0,0.0,60.0
Pune Jn,Kalyan Jn,0.0,0.0,40.0
Pune Jn,Uruli,0.0,0.0,24.5
Pune Jn,Chinchvad,0.0,0.0,18.0
Pune Jn,Solapur Jn,0.0,0.0,34.5
Pune Jn,Lonavala,0.0,0.0,34.0
Pune Jn,Daund Jn,0.0,0.0,31.0
Kurduvadi,Solapur Jn,0.0,0.0,55.5
Kurduvadi,Daund Jn,0.0,0.0,22.5
Kurduvadi,Pandharpur,0.0,0.0,46.0
Kurduvadi,Kem,0.0,0.0,29.5
Kurduvadi,Pune Jn,0.0,0.0,5.5
Solapur Jn,Dudhani,0.0,0.0,57.0
Solapur Jn,Kurduvadi,0.0,0.0,32.0
Solapur Jn,Kalaburagi Jn,0.0,0.0,31.0
Solapur Jn,Pune Jn,0.0,0.0,20.0
Solapur Jn,Daund Jn,0.0,0.0,62.5
Dudhani,Ganagapur Road,0.0,0.0,65.0
Dudhani,Solapur Jn,0.0,0.0,27.0
Ganagapur Road,Kalaburagi Jn,0.0,0.0,66.5
Ganagapur Road,Dudhani,0.0,0.0,20.0
Kalaburagi Jn,Shahabad,0.0,0.0,60.0
Kalaburagi Jn,Ganagapur Road,0.0,0.0,19.5
Kalaburagi Jn,Wadi,0.0,0.0,18.0
Kalaburagi Jn,Solapur Jn,0.0,0.0,13.0
Shahabad,Wadi,0.0,0.0,40.0
Shahabad,Kalaburagi Jn,0.0,0.0,16.5
Wadi,Yadgir,0.0,0.0,28.5
Wadi,Shahabad,0.0,0.0,13.5
Wadi,Kalaburagi Jn,0.0,0.0,7.0
Wadi,Raichur,0.0,0.0,13.0
Yadgir,Krishna,0.0,0.0,30.0
Yadgir,Wadi,0.0,0.0,26.0
Yadgir,Saidapur,0.0,0.0,23.5
Yadgir,Raichur,0.0,0.0,16.0
Krishna,Raichur,0.0,0.0,28.5
Krishna,Yadgir,0.0,0.0,42.0
Raichur,Manthralayam Rd,0.0,0.0,29.5
Raichur,Krishna,0.0,0.0,45.0
Raichur,Saidapur,0.0,0.0,28.0
Raichur,Yadgir,0.0,0.0,19.0
Raichur,Wadi,0.0,0.0,57.5
Manthralayam Rd,Adoni,0.0,0.0,33.5
Manthralayam Rd,Raichur,0.0,0.0,32.0
Adoni,Guntakal Jn,0.0,0.0,32.5
Adoni,Manthralayam Rd,0.0,0.0,36.0
Guntakal Jn,Anantapur,0.0,0.0,28.5
Guntakal Jn,Adoni,0.0,0.0,39.5
Guntakal Jn,Gooty Jn,0.0,0.0,24.5
Anantapur,Dharmavaram Jn,0.0,0.0,23.0
Anantapur,Guntakal Jn,0.0,0.0,29.0
Dharmavaram Jn,Sai P Nilayam,0.0,0.0,18.0
Dharmavaram Jn,Anantapur,0.0,0.0,19.0
Dharmavaram Jn,Kadiri,0.0,0.0,23.0
Sai P Nilayam,Hindupur,0.0,0.0,0.0
Sai P Nilayam,Dharmavaram Jn,0.0,0.0,24.0
Hindupur,Gauribidanur,0.0,0.0,0.0
Hindupur,Sai P Nilayam,0.0,0.0,32.0
Hindupur,Yelhanka Jn,0.0,0.0,15.5
Gauribidanur,Bangalore Cant,0.0,0.0,30.0
Gauribidanur,Hindupur,0.0,0.0,45.0
Bangalore Cant,Ksr Bangalore Cy Jn,0.0,0.0,22.0
Ksr Bangalore Cy Jn,Hosur,0.0,0.0,14.0
Ksr Bangalore Cy Jn,Gauribidanur,0.0,0.0,43.0
Hosur,Dharmapuri,0.0,0.0,61.0
Hosur,Bangalore Cant,0.0,0.0,32.5
Dharmapuri,Salem Jn,0.0,0.0,61.0
Dharmapuri,Hosur,0.0,0.0,27.0
Salem Jn,Erode Jn,0.0,0.0,26.0
Salem Jn,Dharmapuri,0.0,0.0,18.5
Salem Jn,Jolarpettai,72.2,70.4,15.0
Salem Jn,Bommidi,0.0,0.0,6.0
Salem Jn,Katpadi Jn,0.0,0.0,21.0
Salem Jn,Namakkal,0.0,0.0,23.0
Salem Jn,Samalpatti,0.0,0.0,28.0
Salem Jn,Rasipuram,0.0,0.0,14.0
Salem Jn,Morappur,0.0,0.0,5.5
Erode Jn,Tiruppur,0.0,0.0,28.5
Erode Jn,Salem Jn,0.0,0.0,11.5
Tiruppur,Coimbatore Jn,0.0,0.0,31.0
Tiruppur,Erode Jn,0.0,0.0,9.0
Tiruppur,Coimbatore Nrth,0.0,0.0,18.5
Coimbatore Jn,Tiruppur,0.0,0.0,1.0
Coimbatore Jn,Palakkad Jn,73.9,72.7,109.0
Daund Jn,Pune Jn,0.0,0.0,14.0
Daund Jn,Bhigwan,0.0,0.0,28.0
Daund Jn,Kedgaon,0.0,0.0,8.0
Daund Jn,Kurduvadi,0.0,0.0,35.0
Daund Jn,Ahmadnagar,0.0,0.0,74.5
Daund Jn,Solapur Jn,0.0,0.0,24.0
Dadar,Thane,0.0,0.0,2.0
Dadar,Kalyan Jn,0.0,0.0,23.0
Dadar,C Shivaji Term Mumbai,0.0,0.0,43.5
Lonavala,Talegaon,0.0,0.0,18.5
Lonavala,Kalyan Jn,0.0,0.0,19.5
Lonavala,Pune Jn,0.0,0.0,36.5
Talegaon,Chinchvad,0.0,0.0,19.0
Talegaon,Lonavala,0.0,0.0,19.5
Chinchvad,Pune Jn,0.0,0.0,19.5
Chinchvad,Talegaon,0.0,0.0,29.0
Uruli,Kedgaon,0.0,0.0,29.5
Uruli,Pune Jn,0.0,0.0,16.5
Kedgaon,Daund Jn,0.0,0.0,29.0
Kedgaon,Uruli,0.0,0.0,12.5
Bhigwan,Jeur,0.0,0.0,35.0
Bhigwan,Daund Jn,0.0,0.0,9.5
Jeur,Kem,0.0,0.0,42.5
Jeur,Bhigwan,0.0,0.0,21.5
Kem,Kurduvadi,0.0,0.0,45.0
Kem,Jeur,0.0,0.0,28.0
Pandharpur,Sangola,0.0,0.0,35.0
Pandharpur,Kurduvadi,0.0,0.0,19.0
Sangola,Mhasoda Dongar,0.0,0.0,34.5
Sangola,Pandharpur,0.0,0.0,15.5
Mhasoda Dongar,Jath Road,0.0,0.0,39.0
Mhasoda Dongar,Sangola,0.0,0.0,26.0
Jath Road,Dhalgaon,0.0,0.0,47.5
Jath Road,Mhasoda Dongar,0.0,0.0,20.0
Dhalgaon,Kavathe Mahankl,0.0,0.0,53.0
Dhalgaon,Jath Road,0.0,0.0,20.0
Kavathe Mahankl,Miraj Jn,0.0,0.0,33.5
Kavathe Mahankl,Dhalgaon,0.0,0.0,8.0
Miraj Jn,Sangli,0.0,0.0,14.0
Miraj Jn,Kavathe Mahankl,0.0,0.0,8.0
Sangli,Bhilavdi,0.0,0.0,17.0
Sangli,Miraj Jn,0.0,0.0,6.0
Bhilavdi,Kirloskarvadi,0.0,0.0,18.5
