train_number,train_name,station_code,station_name,average_delay_minutes,pct_right_time,pct_slight_delay,pct_significant_delay,pct_cancelled_unknown,scraped_at,source_url,is_delayed,delay_category,is_junction,on_time_ratio,slight_delay_ratio,significant_delay_ratio,scrape_month
12673,Cheran Express,MAS,Chennai Central,2.0,98.9,0.27,0.0,0.83,2025-09-27 12:25:37.767628+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,0,minor_delay,0,0.9890000000000001,0.0027,0.0,9
12673,Cheran Express,AVD,Avadi,0.0,0.27,0.0,0.0,99.73,2025-09-27 12:25:39.293769+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,0,on_time,0,0.0027,0.0,0.0,9
12673,Cheran Express,AJJ,Arakkonam,16.0,55.34,44.38,0.27,0.01,2025-09-27 12:25:40.672610+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,1,moderate_delay,0,0.5534,0.44380000000000003,0.0027,9
12673,Cheran Express,KPD,Katpadi Jn,17.0,48.49,49.86,1.64,0.01,2025-09-27 12:25:42.125216+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,1,moderate_delay,1,0.4849,0.4986,0.016399999999999998,9
12673,Cheran Express,JTJ,Jolarpettai,0.0,70.96,27.67,1.37,0.0,2025-09-27 12:25:44.585700+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,0,on_time,0,0.7095999999999999,0.2767,0.0137,9
12673,Cheran Express,SA,Salem Jn,25.0,23.01,74.79,2.19,0.01,2025-09-27 12:25:46.244640+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,1,moderate_delay,1,0.23010000000000003,0.7479,0.0219,9
12673,Cheran Express,ED,Erode Jn,25.0,21.37,76.44,2.19,0.0,2025-09-27 12:25:49.792387+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,1,moderate_delay,1,0.2137,0.7644,0.0219,9
12673,Cheran Express,TUP,Tiruppur,24.0,22.74,75.34,1.92,0.0,2025-09-27 12:25:53.600309+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,1,moderate_delay,0,0.2274,0.7534000000000001,0.0192,9
12673,Cheran Express,CBF,Coimbatore Nrth,13.0,70.68,28.49,0.82,0.01,2025-09-27 12:25:55.300447+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,1,minor_delay,0,0.7068000000000001,0.2849,0.008199999999999999,9
12673,Cheran Express,CBE,Coimbatore Jn,0.0,96.16,3.56,0.27,0.01,2025-09-27 12:25:56.853323+00:00,https://etrain.info/train/Cheran-Express-12673/history?d=1y,0,on_time,1,0.9616,0.0356,0.0027,9
12674,Cheran Express,CBE,Coimbatore Jn,5.0,97.26,2.47,0.27,0.0,2025-09-27 12:26:02.443675+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,0,minor_delay,1,0.9726,0.024700000000000003,0.0027,9
12674,Cheran Express,TUP,Tiruppur,0.0,81.92,17.53,0.55,0.0,2025-09-27 12:26:04.876737+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,0,on_time,0,0.8192,0.1753,0.0055000000000000005,9
12674,Cheran Express,ED,Erode Jn,21.0,35.34,64.11,0.55,0.0,2025-09-27 12:26:08.488160+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,1,moderate_delay,1,0.35340000000000005,0.6411,0.0055000000000000005,9
12674,Cheran Express,SA,Salem Jn,24.0,27.67,71.51,0.82,0.0,2025-09-27 12:26:12.335151+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,1,moderate_delay,1,0.2767,0.7151000000000001,0.008199999999999999,9
12674,Cheran Express,JTJ,Jolarpettai,7.0,93.15,6.3,0.55,0.0,2025-09-27 12:26:15.876141+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,1,minor_delay,0,0.9315000000000001,0.063,0.0055000000000000005,9
12674,Cheran Express,KPD,Katpadi Jn,14.0,74.79,24.38,0.82,0.01,2025-09-27 12:26:17.318773+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,1,minor_delay,1,0.7479,0.2438,0.008199999999999999,9
12674,Cheran Express,AJJ,Arakkonam,28.0,17.26,80.55,2.19,0.0,2025-09-27 12:26:21.070301+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,1,moderate_delay,0,0.1726,0.8055,0.0219,9
12674,Cheran Express,PER,Perambur,32.0,9.86,86.58,3.01,0.55,2025-09-27 12:26:22.859532+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,1,moderate_delay,0,0.0986,0.8658,0.0301,9
12674,Cheran Express,MAS,Chennai Central,0.0,94.52,3.56,1.37,0.55,2025-09-27 12:26:25.706286+00:00,https://etrain.info/train/Cheran-Express-12674/history?d=1y,0,on_time,0,0.9451999999999999,0.0356,0.0137,9
12681,Kovai Express,MAS,Chennai Central,4.0,100.0,0.0,0.0,0.0,2025-09-27 12:26:29.513413+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,0,minor_delay,0,1.0,0.0,0.0,9
12681,Kovai Express,AJJ,Arakkonam,15.0,60.0,40.0,0.0,0.0,2025-09-27 12:26:31.033374+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,1,minor_delay,0,0.6,0.4,0.0,9
12681,Kovai Express,KPD,Katpadi Jn,11.0,80.0,20.0,0.0,0.0,2025-09-27 12:26:32.769319+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,1,minor_delay,1,0.8,0.2,0.0,9
12681,Kovai Express,SA,Salem Jn,0.0,100.0,0.0,0.0,0.0,2025-09-27 12:26:34.646559+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,0,on_time,1,1.0,0.0,0.0,9
12681,Kovai Express,ED,Erode Jn,0.0,80.0,20.0,0.0,0.0,2025-09-27 12:26:36.570364+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,0,on_time,1,0.8,0.2,0.0,9
12681,Kovai Express,TUP,Tiruppur,8.0,80.0,20.0,0.0,0.0,2025-09-27 12:26:38.205311+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,1,minor_delay,0,0.8,0.2,0.0,9
12681,Kovai Express,CBF,Coimbatore Nrth,7.0,80.0,20.0,0.0,0.0,2025-09-27 12:26:39.757292+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,1,minor_delay,0,0.8,0.2,0.0,9
12681,Kovai Express,CBE,Coimbatore Jn,0.0,100.0,0.0,0.0,0.0,2025-09-27 12:26:41.186983+00:00,https://etrain.info/train/Kovai-Express-12681/history?d=1y,0,on_time,1,1.0,0.0,0.0,9
12682,Kovai Express,CBE,Coimbatore Jn,3.0,100.0,0.0,0.0,0.0,2025-09-27 12:26:45.102038+00:00,https://etrain.info/train/Kovai-Express-12682/history?d=1y,0,minor_delay,1,1.0,0.0,0.0,9
12682,Kovai Express,TUP,Tiruppur,16.0,40.0,60.0,0.0,0.0,2025-09-27 12:26:46.912058+00:00,https://etrain.info/train/Kovai-Express-12682/history?d=1y,1,moderate_delay,0,0.4,0.6,0.0,9
